Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
nm-applet.mo,"igure VPN
_Connect to «Hidden« Wi-Fi Network
_Delete","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/id/LC_MESSAGES/nm-applet.mo","2022-11-08 00:03:20 CET","2024-07-31 19:38:25 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:24 CEST",77400,Allocated,Allocated,unknown,,,application/octet-stream,mo
pluma.mo,"(filter nothing), «hidden« (filter «hidden« files), binary","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/id/LC_MESSAGES/pluma.mo","2023-12-30 16:04:26 CET","2024-07-31 19:38:35 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:35 CEST",106617,Allocated,Allocated,unknown,,,application/octet-stream,mo
mate-terminal.mo,"""left"", ""right"", and ""«hidden«"".Whether an unlimited","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/sk/LC_MESSAGES/mate-terminal.mo","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",69779,Allocated,Allocated,unknown,,,application/octet-stream,mo
html.xml,"[button,checkbox,file,«hidden«,image,password,radio,reset","/img_debianFinalProject.E01/vol_vol2/usr/share/pluma/plugins/snippets/html.xml","2023-12-30 16:04:26 CET","2024-07-31 19:38:35 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:35 CEST",7846,Allocated,Allocated,unknown,,,text/xml,xml
util-linux.mo,"HPFS/NTFSHidden W95 FAT16 (LBA)«Hidden« W95 FAT32Hidden W95 FAT32","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/id/LC_MESSAGES/util-linux.mo","2024-03-28 10:52:12 CET","2024-07-31 19:39:00 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:39:00 CEST",43213,Allocated,Allocated,unknown,,,application/octet-stream,mo
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/ar/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",58749,Allocated,Allocated,unknown,,,text/xml,docbook
goscaja.xml,"set to display «hidden« files, the «hidden« files are shown","/img_debianFinalProject.E01/vol_vol2/usr/share/help/he/mate-user-guide/goscaja.xml","2021-12-10 21:45:01 CET","2024-07-31 19:38:02 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:55 CEST",218643,Allocated,Allocated,unknown,,,text/xml,xml
pluma.mo,"(filter nothing), «hidden« (filter «hidden« files), binary","/img_debianFinalProject.E01/vol_vol2/usr/share/locale/ca@valencia/LC_MESSAGES/pluma.mo","2023-12-30 16:04:26 CET","2024-07-31 19:38:35 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:38:35 CEST",95711,Allocated,Allocated,unknown,,,application/octet-stream,mo
index.docbook,"xml:lang=""en"">To show a «hidden« menubar:</term>","/img_debianFinalProject.E01/vol_vol2/usr/share/help/eu/mate-terminal/index.docbook","2023-04-25 16:19:04 CEST","2024-07-31 19:37:20 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:19 CEST",58603,Allocated,Allocated,unknown,,,text/xml,docbook
gosdconfkeys.xml,"automatically shown and «hidden« when the user presses","/img_debianFinalProject.E01/vol_vol2/usr/share/help/he/mate-user-guide/gosdconfkeys.xml","2021-12-10 21:45:01 CET","2024-07-31 19:38:02 CEST","2024-07-31 19:29:45 CEST","2024-07-31 19:37:55 CEST",74414,Allocated,Allocated,unknown,,,text/xml,xml
